park_name,park_unit,water_system_name,alternative_name,classification,pws_number,source_type,source_longitude,source_latitude,geometry,PWS_NAME,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,POP_CAT_2_CODE,POP_CAT_3_CODE,POP_CAT_4_CODE,POP_CAT_5_CODE,POP_CAT_11_CODE,POP_CAT_2_DESC,POP_CAT_3_DESC,POP_CAT_4_DESC,POP_CAT_5_DESC,POP_CAT_11_DESC,Avg_Annual_Visits_5Yr
Assateague Island National Seashore,ASIS,Developed Zone Water System MD,North Beach (MD),Transient Non-Community Water System (TNC),MD1231261,unknown groundwater,-75.15287,38.20832,"c(-75.15287, 38.20832)",ASSATEAGUE NATIONAL PARK NORTH BEACH,TNCWS,10020,2,2,2,4,6,"10,000+","3,301-50,000","10K-49,999","10,001-100,000","10,001-50,000",2396110.4
Assateague Island National Seashore,ASIS,Developed Zone Water System MD,North Beach (MD),Transient Non-Community Water System (TNC),MD1231261,unknown groundwater,-75.15287,38.20832,"c(-75.15287, 38.20832)",ASSATEAGUE NATIONAL PARK NORTH BEACH,TNCWS,10020,2,2,2,4,6,"10,000+","3,301-50,000","10K-49,999","10,001-100,000","10,001-50,000",2396110.4
Assateague Island National Seashore,ASIS,Maintenance Compound VA,NA,Non-Public Water System (NP),NA,unknown groundwater,-75.34504,37.89073,"c(-75.34504, 37.89073)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,2396110.4
Assateague Island National Seashore,ASIS,Public Beach VA,Toms Cove Beach (VA),Non-Potable (NonPOT),NA,unknown groundwater,-75.345161,37.887045,"c(-75.345161, 37.887045)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,2396110.4
Big Bend National Park,BIBE,Harte Ranch,NA,Non-Public Water System (NP),NA,rainwater,-103.187386,29.480238,"c(-103.187386, 29.480238)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,549437.2
Big Bend National Park,BIBE,"Water System, Barker Lodge, RGV",NA,Non-Public Water System (NP),NA,shallow groundwater,-102.95114,29.18882,"c(-102.95114, 29.18882)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,549437.2
Big Bend National Park,BIBE,Water System CASTOLON,NA,Transient Non-Community Water System (TNC),TX0220019,shallow groundwater,-103.52438,29.13881,"c(-103.52438, 29.13881)",CASTOLON MAINT AREA BBNP,TNCWS,50,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,549437.2
Big Bend National Park,BIBE,Water System CASTOLON,NA,Transient Non-Community Water System (TNC),TX0220019,shallow groundwater,-103.52362,29.1386,"c(-103.52362, 29.1386)",CASTOLON MAINT AREA BBNP,TNCWS,50,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,549437.2
Big Bend National Park,BIBE,Water System CASTOLON,NA,Transient Non-Community Water System (TNC),TX0220019,shallow groundwater,-103.52438,29.13881,"c(-103.52438, 29.13881)",CASTOLON MAINT AREA BBNP,TNCWS,50,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,549437.2
Big Bend National Park,BIBE,Water System PJ,Panther Junction,Community Water System (CWS),TX0220020,deep groundwater,-103.18242,29.30713,"c(-103.18242, 29.30713)",PANTHER JUNCTION PLT,CWS,300,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500,549437.2
