park_name,park_unit,water_system_name,alternative_name,classification,pws_number,source_type,source_longitude,source_latitude,geometry,PWS_NAME,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,POP_CAT_2_CODE,POP_CAT_3_CODE,POP_CAT_4_CODE,POP_CAT_5_CODE,POP_CAT_11_CODE,POP_CAT_2_DESC,POP_CAT_3_DESC,POP_CAT_4_DESC,POP_CAT_5_DESC,POP_CAT_11_DESC
Voyageurs National Park,VOYA,NSP Drinking Water system for Mukooda C.G.,Mukooda Campground,Non-Public Water System (NP),NA,shallow groundwater,-92.476104,48.334857,"c(-92.476104, 48.334857)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Voyageurs National Park,VOYA,NSP Drinking Water system for Sandpoint Qtrs.,NA,Non-Public Water System (NP),NA,unknown groundwater,-92.466819,48.363436,"c(-92.466819, 48.363436)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Voyageurs National Park,VOYA,NSP Hand pump K Williams Camp Grnd  Drinking Water,NA,Non-Public Water System (NP),NA,shallow groundwater,-92.753659,48.435773,"c(-92.753659, 48.435773)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Voyageurs National Park,VOYA,Rainy Lake Tour Boat,Rainy Lake Tour Boat,Non-Public Water System (NP),NA,hauled,-93.366731,48.60759,"c(-93.366731, 48.60759)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Washita Battlefield National Historic Site,WABA,Community water supply,Cheyenne,Community Water System (CWS),OK1010803,municipal,-99.68638,35.61672,"c(-99.68638, 35.61672)",CHEYENNE,CWS,778,1,1,1,2,3,"<10,000","<=3,300",<10K,"501-3,300","501-1,000"
Walnut Canyon National Monument,WACA,WACA Water System,NA,Transient Non-Community Water System (TNC),AZ0403716,deep groundwater,-111.510127,35.17295,"c(-111.510127, 35.17295)",WALNUT CANYON NATL MONUMENT,TNCWS,700,1,1,1,2,3,"<10,000","<=3,300",<10K,"501-3,300","501-1,000"
Waco Mammoth National Monument,WACO,Water System,City of Waco,Community Water System (CWS),TX1550008,municipal,-97.138889,31.567222,"c(-97.138889, 31.567222)",CITY OF WACO,CWS,146241,2,3,4,5,8,"10,000+",">50,000",100K+,">100,000","100,001-250,000"
Weir Farm National Historic Site,WEFA,Visitor Center,NA,Transient Non-Community Water System (TNC),CT1615184,unknown groundwater,-73.45643,41.25653,"c(-73.45643, 41.25653)",WEIR FARM NATIONAL HISTORIC SITE,TNCWS,43,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Weir Farm National Historic Site,WEFA,Caretaker's House,NA,Non-Public Water System (NP),NA,unknown groundwater,-73.45626,41.25728,"c(-73.45626, 41.25728)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Weir Farm National Historic Site,WEFA,Old Branchville,NA,Non-Potable (NonPOT),NA,unknown groundwater,-73.452583,41.265748,"c(-73.452583, 41.265748)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
